ID;Numero;Carta;Naipe;Elemento;Planeta;Signo_Astrologico;Cabala_Kabbalah;Data Importante;Pedra;Sim_Ou_Não;Significado_Normal
1;0;O Louco;Arcano Maior;Ar;Urano;Aquário;11º Keter-Chokhmah;Primavera;Topázio;Sim;Novo começo, aventura, espontaneidade, descuido, fé, liberdade, inocência
2;1;O Mago;Arcano Maior;Ar;Mercúrio;Áries;12º Kether-Binah;Primavera;Agata, Opala;Sim;Manifestação, desenvoltura, poder, ação inspirada
3;2;A Sacerdotisa;Arcano Maior;Água;Lua;Câncer e Touro;13º Tipharet-Kether;Verão;Pérola, Cristal, pedra da lua;Talvez; Intuição, conhecimento divino, energia feminina, segredos, mistério, inconsciente, espiritualidade.
4;3;A Imperatriz;Arcano Maior;Terra;Vênus;Libra;14º Binah-Chokmak;Outono;Esmeralda, Turquesa;Sim;Feminilidade, beleza, criatividade, natureza, nutrição, abundância, gravidez
5;4;O Imperador;Arcano Maior;Fogo;Marte;Áries;15º Tipharet-Chokmah;Outono;Rubi;Sim;controle, autoridade, foco, disciplina, estrutura, proteção
6;5;O Papa;Arcano Maior;Terra;Vênus;Touro;16º Chesed-Chokmah;Primavera;Terra;Talvez;autoridade, convencionalidade, conformismo, a importância da espiritualidade, educação
7;6;Enamorados;Arcano Maior;Ar;Mercúrio;Gêmeos;17º Tipharet-Binah;Verão;Turmalina, Alexandrita;Sim;Amor, união, escolhas significativas, harmonia, valores compartilhados, parcerias, romance
8;7;O Carro;Arcano Maior;Água;Lua;Câncer;18º Gevurah-Binah;Verão;Não especificado;Sim;controle, força de vontade, sucesso, ação, determinação
9;8;A Força;Arcano Maior;Fogo;Sol;Leão;19º Gevurah-Chesed;Meados do verão;Não especificado;Sim;força interna, coragem, persuasão, resistência, compaixão, sensualidade
10;9;O Eremita;Arcano Maior;Terra;Mercúrio;Virgem;20º Tipharet-Chesed;Final do verão;Peridoto;Sim;introspecção, estar sozinho, meditação
11;10;A Roda da Fortuna;Arcano Maior;Fogo;Júpiter;Capricórnio;21º Netzach-Chesed;Sem datas específicas;Não especificado;Sim;Mudança, boa sorte, ciclos de vida, progresso
12;11;A Justiça;Arcano Maior;Ar;Libra;Vênus;Início do outono;22º Tipharet-Gevurah;Não especificado;Sim;Equilíbrio, decisões justas, responsabilidade, justiça cármica.
13;12;O Enforcado;Arcano Maior;Água;Netuno;Peixes;23º Hod-Gevurah;Sem datas importantes;Não especificado;Não;Suspensão, desapego, novas perspectivas.
14;13;A Morte;Arcano Maior;Água;Plutão;Escorpião;24º Netzach-Tipharet;Final do outono;Não especificado;Não;Finais, mudança, desapego.
15;14;A Temperança;Arcano Maior;Água;Lua;Sagitário;25º Yesod-Tipharet;Final do outono;Não especificado;Sim;equilíbrio, moderação, paciência, confiança positiva, paz, tranquilidade, serenidade.
16;15;O Diabo;Arcano Maior;Terra;Saturno;Capricórnio;26º Hod-Tipharet;Fim e início do ano civil;Diamante negro;Não;tentação física e material, vício, obsessões, dependência, depressão.
17;16;A Torre;Arcano Maior;Fogo;Marte;Áries;Não especificado;Não especificado;Não especificado;Não;Mudança repentina, Turbulência, Destruição, Trauma.
18;17;A Estrela;Arcano Maior;Ar;Uranos;Aquário;Janeiro e Fevereiro;28º Yesod-Netzach;Não especificado;Sim;Esperança, inspiração, positividade, renovação, espiritualidade, cura.
19;18;A Lua;Arcano Maior;Água;Netuno;Peixes;Fevereiro e Março;29º Malkuth-Netzach;Não especificado;Não;Ilusão, ansiedade, subconsciente, intuição.
20;19;O Sol;Arcano Maior;Fogo;Sol;Leão;Não especificado;30º Yesod-Hod;Crisólita;Sim;Positividade, diversão, calor, sucesso, vitalidade.
21;20;O Julgamento;Arcano Maior;Fogo;Plutão;Escorpião;Não especificado;31º Malkuth-Hod;Não especificado;Talvez;Reflexão, renascimento, vocação interior, absolvição.
22;21;O Mundo;Arcano Maior;Terra;Saturno;Nenhum, governado por Saturno;Não tem;32º Yedod-Malkuth;Não especificado;Sim;Conclusão, realização, viagem
23;1;Ás de Copas;Copas;Água;Mercúrio;Câncer, Escorpião, Peixes;Não especificado;Não especificado;Diamante;Sim;Amor, novos relacionamentos, compaixão, criatividade.
24;2;2 de Copas;Copas;Água;Vênus;Câncer;Meados do verão;Chokmah - Sabedoria;Não especificado;Sim;relacionamentos, harmonia, casamento, união, encontro, afinidade.
25;3;3 de Copas;Copas;Água;Mercúrio;Câncer;Não especificado;Binah - Entendimento;Não especificado;Sim;celebração, amizade, cura, abundância.
26;4;4 de Copas;Copas;Água;Lua;Câncer;Não especificado;Chokmah - Sabedoria;Não especificado;Não;apatia, desânimo, passividade, hesitação, dúvidas.
27;5;5 de Copas;Copas;Água;Marte;Escorpião;Final do outono e início do inverno;Geburah - Força;Não especificado;Não;emoções negativas, foco em perdas, instabilidade emocional, raiva.
28;6;6 de Copas;Copas;Água;Netuno;Escorpião;Início do inverno;Tipharet - Beleza;Não especificado;Sim;memórias de infância, influências passadas, nostalgia, reencontros, inocência.
29;7;7 de Copas;Copas;Água;Vênus;Escorpião;Início do inverno;Netzach - Vitória;Não especificado;Neutro;escolhas, múltiplas possibilidades, oportunidades, decisões, sonhos, ilusão.
30;8;8 de Copas;Copas;Água;Saturno;Peixes;Meio do inverno;Hod - Esplendor;Não especificado;Não;abandono, deixar ir, viajar, escapismo, introspecção, auto descoberta, solidão.
31;9;9 de Copas;Copas;Água;Júpiter;Peixes;Yesod O Alicerce;meio para o final do inverno;Não especificado;Sim;satisfação, contentamento​
32;10;10 de Copas;Copas;Água;Marte;Peixes;Malkuth O Reinado;meio para o fim do inverno;Não especificado;Sim;felicidade, família feliz, casamento, estabilidade, harmonia, boa sorte
33;11;Cavaleiro de Copas;Copas;Água;Netuno;Peixes;Tipharet – Beleza;Primavera;Não especificado;Sim;proposta romântica, charme, criatividade, diplomacia, tomada de atitudes
34;12;Valete de Copas;Copas;Água e Ar;Mercúrio;Câncer, Escorpião, Peixes;Malkuth – O Reinado;Verão;Não especificado;Sim;criança interior, idealismo, espiritualidade, inocência, boas notícias, romance, arte. Para mais detalhes, você pode visitar o site Tarotfarm
35;13;Rainha de Copas;Copas;Água;Netuno;Câncer;Binah – Compreensão;início do verão;Não especificado;Incerto;feminilidade, sensitividade, gentileza, intuição, romance, beleza, criatividade, conselheira
